Time (ns),spi_master_tb.timeout_cycles
11190000,b110
11210000,b111
11230000,b1000
11250000,b1001
11270000,b1010
11290000,b1011
11310000,b1100
11330000,b1101
11350000,b1110
11370000,b1111
11390000,b10000
11410000,b10001
11430000,b10010
11450000,b10011
11470000,b10100
11490000,b10101
11510000,b10110
11530000,b10111
11550000,b11000
11570000,b11001
11590000,b11010
11610000,b11011
11630000,b11100
11650000,b11101
11670000,b11110
11690000,b11111
11710000,b100000
11730000,b100001
11750000,b100010
11770000,b100011
11790000,b100100
11810000,b100101
11830000,b100110
11850000,b100111
11870000,b101000
11890000,b101001
11910000,b101010
11930000,b101011
11950000,b101100
11970000,b101101
11990000,b101110
12010000,b101111
12030000,b110000
12050000,b110001
12070000,b110010
12090000,b110011
12110000,b110100
12130000,b110101
12150000,b110110
12170000,b110111
12190000,b111000
12210000,b111001
12230000,b111010
12250000,b111011
12270000,b111100
12290000,b111101
12310000,b111110
12330000,b111111
12350000,b1000000
12370000,b1000001
12390000,b1000010
12410000,b1000011
12430000,b1000100
12450000,b1000101
12470000,b1000110
12490000,b1000111
12510000,b1001000
12530000,b1001001
12550000,b1001010
12570000,b1001011
12590000,b1001100
12610000,b1001101
12630000,b1001110
12650000,b1001111
12670000,b1010000
12690000,b1010001
12710000,b1010010
12730000,b1010011
12750000,b1010100
12770000,b1010101
12790000,b1010110
12810000,b1010111
12830000,b1011000
12850000,b1011001
12870000,b1011010
12890000,b1011011
12910000,b1011100
12930000,b1011101
12950000,b1011110
12970000,b1011111
12990000,b1100000
13010000,b1100001
13030000,b1100010
13050000,b1100011
13070000,b1100100
13090000,b1100101
13110000,b1100110
13130000,b1100111
13150000,b1101000
13170000,b1101001
13190000,b1101010
13210000,b1101011
13230000,b1101100
13250000,b1101101
13270000,b1101110
13290000,b1101111
13310000,b1110000
13330000,b1110001
13350000,b1110010
13370000,b1110011
13390000,b1110100
13410000,b1110101
13430000,b1110110
13450000,b1110111
13470000,b1111000
13490000,b1111001
13510000,b1111010
13530000,b1111011
13550000,b1111100
13570000,b1111101
13590000,b1111110
13610000,b1111111
13630000,b10000000
13650000,b10000001
13670000,b10000010
