Time (ns),SCLK,MOSI,MISO,SS_N,BUSY,IRQ,DATA
2580000,0,0,b0,1,0,1,b10
2590000,0,0,b0,1,0,1,b10
2600000,0,0,b0,1,0,1,b10
2610000,0,0,b0,1,0,1,b10
2620000,0,0,b0,1,0,1,b10
2630000,0,0,b0,1,0,1,b10
2640000,0,0,b0,1,0,1,b10
2650000,0,1,b0,1,0,1,b10
2660000,0,1,b0,1,0,1,b10
2670000,0,1,b0,1,0,1,b10
2680000,0,1,b0,1,0,1,b10
2690000,0,0,b0,1,0,1,b10
2700000,0,0,b0,1,0,1,b10
2710000,0,0,b0,1,0,1,b10
2720000,0,0,b0,1,0,1,b10
2730000,0,1,b0,0,0,1,b10
2740000,0,1,b0,0,0,1,b10
2750000,0,1,b0,0,0,1,b10
2760000,0,1,b0,0,0,1,b10
2770000,0,0,b0,0,0,1,b10
2780000,0,0,b0,0,0,1,b10
2790000,0,0,b0,0,0,1,b10
2800000,0,0,b0,0,0,1,b10
2810000,0,1,b0,1,0,1,b10
2820000,0,1,b0,1,0,1,b10
2830000,0,1,b0,1,0,1,b10
2840000,0,1,b0,1,0,1,b10
2850000,0,0,b0,1,0,1,b10
2860000,0,0,b0,1,0,1,b10
2870000,0,0,b0,1,0,1,b10
2880000,0,0,b0,1,0,1,b10
2890000,0,1,b0,0,0,1,b10
2900000,0,1,b0,0,0,1,b10
2910000,0,1,b0,0,0,1,b10
2920000,0,1,b0,0,0,1,b10
2930000,0,0,b0,0,0,1,b10
2940000,0,0,b0,0,0,1,b10
2950000,0,0,b0,0,0,1,b10
2960000,0,0,b0,0,0,1,b10
2970000,0,1,b0,1,0,1,b10
2980000,0,1,b0,1,0,1,b10
2990000,0,1,b0,1,0,1,b10
3000000,0,1,b0,1,0,1,b10
3010000,0,0,b0,1,0,1,b10
3020000,0,0,b0,1,0,1,b10
3030000,0,0,b0,1,0,1,b10
3040000,0,0,b0,1,0,1,b10
3050000,0,1,b0,0,0,1,b10
3060000,0,1,b0,0,0,1,b10
3070000,0,1,b0,0,0,1,b10
3080000,0,1,b0,0,0,1,b10
3090000,0,0,b0,0,0,1,b10
3100000,0,0,b0,0,0,1,b10
3110000,0,0,b0,0,0,1,b10
3120000,0,0,b0,0,0,1,b10
3130000,0,1,b0,1,0,1,b10
3140000,0,1,b0,1,0,1,b10
3150000,0,1,b0,1,0,1,b10
3160000,0,1,b0,1,0,1,b10
3170000,0,0,b0,1,0,1,b10
3180000,0,0,b0,1,0,1,b10
3190000,0,0,b0,1,0,1,b10
3200000,0,0,b0,1,0,1,b10
3210000,0,1,b0,1,0,1,b10
3220000,0,1,b0,1,0,1,b10
3230000,1,1,b0,1,1,0,b10
