Time (ns),SS_N,SCLK,DATA,MOSI,IRQ,BUSY,spi_master_tb.dut.clk,MISO,spi_master_tb.dut.rst_n,spi_master_tb.dut.start_rx,spi_master_tb.dut.start_tx,spi_master_tb.tx_data,spi_master_tb.ss_idx,spi_master_tb.timeout_cycles,spi_master_tb.dut.CPHA,spi_master_tb.dut.CPOL,spi_master_tb.dut.SS_ACTIVE,spi_master_tb.dut.tx_data,spi_master_tb.dut.bit_counter,spi_master_tb.dut.clk_counter,spi_master_tb.dut.default_data,spi_master_tb.dut.last_sclk,spi_master_tb.dut.next_state,DATA,spi_master_tb.dut.rx_shift_reg,spi_master_tb.dut.sclk_gen,SS_N,spi_master_tb.dut.state,spi_master_tb.dut.tx_shift_reg,spi_master_tb.assert_all_ss_inactive.tag,spi_master_tb.assert_selected_ss_active.tag,spi_master_tb.wait_for_busy_assert.tag,spi_master_tb.wait_for_busy_assert.max_cycles,spi_master_tb.wait_for_not_busy.tag,spi_master_tb.wait_for_not_busy.max_cycles
5160000,b11110111,1,b0,1,0,1,0,0,1,0,0,b101010101010101,b1000,b1100011,1,1,0,b101010101010101,b1100,b0,b1010010110100101,1,b10,b0,b0,0,b11110111,b10,b101000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5170000,b11110111,0,b0,0,0,1,1,0,1,0,0,b101010101010101,b1000,b1100011,1,1,0,b101010101010101,b1101,b1,b1010010110100101,0,b10,b0,b0,0,b11110111,b10,b1010000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5180000,b11110111,0,b0,0,0,1,0,0,1,0,0,b101010101010101,b1000,b1100100,1,1,0,b101010101010101,b1101,b1,b1010010110100101,0,b10,b0,b0,0,b11110111,b10,b1010000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5190000,b11110111,0,b0,0,0,1,1,0,1,0,0,b101010101010101,b1000,b1100100,1,1,0,b101010101010101,b1101,b10,b1010010110100101,0,b10,b0,b0,0,b11110111,b10,b1010000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5200000,b11110111,0,b0,0,0,1,0,0,1,0,0,b101010101010101,b1000,b1100101,1,1,0,b101010101010101,b1101,b10,b1010010110100101,0,b10,b0,b0,0,b11110111,b10,b1010000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5210000,b11110111,0,b0,0,0,1,1,0,1,0,0,b101010101010101,b1000,b1100101,1,1,0,b101010101010101,b1101,b11,b1010010110100101,0,b10,b0,b0,0,b11110111,b10,b1010000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5220000,b11110111,0,b0,0,0,1,0,0,1,0,0,b101010101010101,b1000,b1100110,1,1,0,b101010101010101,b1101,b11,b1010010110100101,0,b10,b0,b0,0,b11110111,b10,b1010000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5230000,b11110111,0,b0,0,0,1,1,0,1,0,0,b101010101010101,b1000,b1100110,1,1,0,b101010101010101,b1101,b0,b1010010110100101,0,b10,b0,b0,1,b11110111,b10,b1010000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5240000,b11110111,0,b0,0,0,1,0,0,1,0,0,b101010101010101,b1000,b1100111,1,1,0,b101010101010101,b1101,b0,b1010010110100101,0,b10,b0,b0,1,b11110111,b10,b1010000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5250000,b11110111,1,b0,0,0,1,1,0,1,0,0,b101010101010101,b1000,b1100111,1,1,0,b101010101010101,b1101,b1,b1010010110100101,1,b10,b0,b0,1,b11110111,b10,b1010000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5260000,b11110111,1,b0,0,0,1,0,0,1,0,0,b101010101010101,b1000,b1101000,1,1,0,b101010101010101,b1101,b1,b1010010110100101,1,b10,b0,b0,1,b11110111,b10,b1010000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5270000,b11110111,1,b0,0,0,1,1,0,1,0,0,b101010101010101,b1000,b1101000,1,1,0,b101010101010101,b1101,b10,b1010010110100101,1,b10,b0,b0,1,b11110111,b10,b1010000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5280000,b11110111,1,b0,0,0,1,0,0,1,0,0,b101010101010101,b1000,b1101001,1,1,0,b101010101010101,b1101,b10,b1010010110100101,1,b10,b0,b0,1,b11110111,b10,b1010000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5290000,b11110111,1,b0,0,0,1,1,0,1,0,0,b101010101010101,b1000,b1101001,1,1,0,b101010101010101,b1101,b11,b1010010110100101,1,b10,b0,b0,1,b11110111,b10,b1010000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5300000,b11110111,1,b0,0,0,1,0,0,1,0,0,b101010101010101,b1000,b1101010,1,1,0,b101010101010101,b1101,b11,b1010010110100101,1,b10,b0,b0,1,b11110111,b10,b1010000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5310000,b11110111,1,b0,0,0,1,1,0,1,0,0,b101010101010101,b1000,b1101010,1,1,0,b101010101010101,b1101,b0,b1010010110100101,1,b10,b0,b0,0,b11110111,b10,b1010000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5320000,b11110111,1,b0,0,0,1,0,0,1,0,0,b101010101010101,b1000,b1101011,1,1,0,b101010101010101,b1101,b0,b1010010110100101,1,b10,b0,b0,0,b11110111,b10,b1010000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5330000,b11110111,0,b0,1,0,1,1,0,1,0,0,b101010101010101,b1000,b1101011,1,1,0,b101010101010101,b1110,b1,b1010010110100101,0,b10,b0,b0,0,b11110111,b10,b100000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5340000,b11110111,0,b0,1,0,1,0,0,1,0,0,b101010101010101,b1000,b1101100,1,1,0,b101010101010101,b1110,b1,b1010010110100101,0,b10,b0,b0,0,b11110111,b10,b100000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5350000,b11110111,0,b0,1,0,1,1,0,1,0,0,b101010101010101,b1000,b1101100,1,1,0,b101010101010101,b1110,b10,b1010010110100101,0,b10,b0,b0,0,b11110111,b10,b100000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5360000,b11110111,0,b0,1,0,1,0,0,1,0,0,b101010101010101,b1000,b1101101,1,1,0,b101010101010101,b1110,b10,b1010010110100101,0,b10,b0,b0,0,b11110111,b10,b100000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5370000,b11110111,0,b0,1,0,1,1,0,1,0,0,b101010101010101,b1000,b1101101,1,1,0,b101010101010101,b1110,b11,b1010010110100101,0,b10,b0,b0,0,b11110111,b10,b100000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5380000,b11110111,0,b0,1,0,1,0,0,1,0,0,b101010101010101,b1000,b1101110,1,1,0,b101010101010101,b1110,b11,b1010010110100101,0,b10,b0,b0,0,b11110111,b10,b100000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5390000,b11110111,0,b0,1,0,1,1,0,1,0,0,b101010101010101,b1000,b1101110,1,1,0,b101010101010101,b1110,b0,b1010010110100101,0,b10,b0,b0,1,b11110111,b10,b100000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5400000,b11110111,0,b0,1,0,1,0,0,1,0,0,b101010101010101,b1000,b1101111,1,1,0,b101010101010101,b1110,b0,b1010010110100101,0,b10,b0,b0,1,b11110111,b10,b100000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5410000,b11110111,1,b0,1,0,1,1,0,1,0,0,b101010101010101,b1000,b1101111,1,1,0,b101010101010101,b1110,b1,b1010010110100101,1,b10,b0,b0,1,b11110111,b10,b100000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5420000,b11110111,1,b0,1,0,1,0,0,1,0,0,b101010101010101,b1000,b1110000,1,1,0,b101010101010101,b1110,b1,b1010010110100101,1,b10,b0,b0,1,b11110111,b10,b100000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5430000,b11110111,1,b0,1,0,1,1,0,1,0,0,b101010101010101,b1000,b1110000,1,1,0,b101010101010101,b1110,b10,b1010010110100101,1,b10,b0,b0,1,b11110111,b10,b100000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5440000,b11110111,1,b0,1,0,1,0,0,1,0,0,b101010101010101,b1000,b1110001,1,1,0,b101010101010101,b1110,b10,b1010010110100101,1,b10,b0,b0,1,b11110111,b10,b100000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5450000,b11110111,1,b0,1,0,1,1,0,1,0,0,b101010101010101,b1000,b1110001,1,1,0,b101010101010101,b1110,b11,b1010010110100101,1,b10,b0,b0,1,b11110111,b10,b100000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5460000,b11110111,1,b0,1,0,1,0,0,1,0,0,b101010101010101,b1000,b1110010,1,1,0,b101010101010101,b1110,b11,b1010010110100101,1,b10,b0,b0,1,b11110111,b10,b100000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5470000,b11110111,1,b0,1,0,1,1,0,1,0,0,b101010101010101,b1000,b1110010,1,1,0,b101010101010101,b1110,b0,b1010010110100101,1,b10,b0,b0,0,b11110111,b10,b100000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5480000,b11110111,1,b0,1,0,1,0,0,1,0,0,b101010101010101,b1000,b1110011,1,1,0,b101010101010101,b1110,b0,b1010010110100101,1,b10,b0,b0,0,b11110111,b10,b100000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5490000,b11110111,0,b0,0,0,1,1,0,1,0,0,b101010101010101,b1000,b1110011,1,1,0,b101010101010101,b1111,b1,b1010010110100101,0,b10,b0,b0,0,b11110111,b10,b1000000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5500000,b11110111,0,b0,0,0,1,0,0,1,0,0,b101010101010101,b1000,b1110100,1,1,0,b101010101010101,b1111,b1,b1010010110100101,0,b10,b0,b0,0,b11110111,b10,b1000000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5510000,b11110111,0,b0,0,0,1,1,0,1,0,0,b101010101010101,b1000,b1110100,1,1,0,b101010101010101,b1111,b10,b1010010110100101,0,b10,b0,b0,0,b11110111,b10,b1000000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5520000,b11110111,0,b0,0,0,1,0,0,1,0,0,b101010101010101,b1000,b1110101,1,1,0,b101010101010101,b1111,b10,b1010010110100101,0,b10,b0,b0,0,b11110111,b10,b1000000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5530000,b11110111,0,b0,0,0,1,1,0,1,0,0,b101010101010101,b1000,b1110101,1,1,0,b101010101010101,b1111,b11,b1010010110100101,0,b10,b0,b0,0,b11110111,b10,b1000000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5540000,b11110111,0,b0,0,0,1,0,0,1,0,0,b101010101010101,b1000,b1110110,1,1,0,b101010101010101,b1111,b11,b1010010110100101,0,b10,b0,b0,0,b11110111,b10,b1000000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5550000,b11110111,0,b0,0,0,1,1,0,1,0,0,b101010101010101,b1000,b1110110,1,1,0,b101010101010101,b1111,b0,b1010010110100101,0,b10,b0,b0,1,b11110111,b10,b1000000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5560000,b11110111,0,b0,0,0,1,0,0,1,0,0,b101010101010101,b1000,b1110111,1,1,0,b101010101010101,b1111,b0,b1010010110100101,0,b10,b0,b0,1,b11110111,b10,b1000000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5570000,b11110111,1,b0,0,0,1,1,0,1,0,0,b101010101010101,b1000,b1110111,1,1,0,b101010101010101,b1111,b1,b1010010110100101,1,b10,b0,b0,1,b11110111,b10,b1000000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5580000,b11110111,1,b0,0,0,1,0,0,1,0,0,b101010101010101,b1000,b1111000,1,1,0,b101010101010101,b1111,b1,b1010010110100101,1,b10,b0,b0,1,b11110111,b10,b1000000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5590000,b11110111,1,b0,0,0,1,1,0,1,0,0,b101010101010101,b1000,b1111000,1,1,0,b101010101010101,b1111,b10,b1010010110100101,1,b10,b0,b0,1,b11110111,b10,b1000000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5600000,b11110111,1,b0,0,0,1,0,0,1,0,0,b101010101010101,b1000,b1111001,1,1,0,b101010101010101,b1111,b10,b1010010110100101,1,b10,b0,b0,1,b11110111,b10,b1000000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5610000,b11110111,1,b0,0,0,1,1,0,1,0,0,b101010101010101,b1000,b1111001,1,1,0,b101010101010101,b1111,b11,b1010010110100101,1,b10,b0,b0,1,b11110111,b10,b1000000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5620000,b11110111,1,b0,0,0,1,0,0,1,0,0,b101010101010101,b1000,b1111010,1,1,0,b101010101010101,b1111,b11,b1010010110100101,1,b10,b0,b0,1,b11110111,b10,b1000000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5630000,b11110111,1,b0,0,0,1,1,0,1,0,0,b101010101010101,b1000,b1111010,1,1,0,b101010101010101,b1111,b0,b1010010110100101,1,b10,b0,b0,0,b11110111,b10,b1000000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5640000,b11110111,1,b0,0,0,1,0,0,1,0,0,b101010101010101,b1000,b1111011,1,1,0,b101010101010101,b1111,b0,b1010010110100101,1,b10,b0,b0,0,b11110111,b10,b1000000000000000,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5650000,b11110111,0,b0,1,0,1,1,0,1,0,0,b101010101010101,b1000,b1111011,1,1,0,b101010101010101,b10000,b1,b1010010110100101,0,b10,b0,b0,0,b11110111,b10,b0,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5660000,b11110111,0,b0,1,0,1,0,0,1,0,0,b101010101010101,b1000,b1111100,1,1,0,b101010101010101,b10000,b1,b1010010110100101,0,b10,b0,b0,0,b11110111,b10,b0,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5670000,b11110111,0,b0,1,0,1,1,0,1,0,0,b101010101010101,b1000,b1111100,1,1,0,b101010101010101,b10000,b10,b1010010110100101,0,b10,b0,b0,0,b11110111,b10,b0,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5680000,b11110111,0,b0,1,0,1,0,0,1,0,0,b101010101010101,b1000,b1111101,1,1,0,b101010101010101,b10000,b10,b1010010110100101,0,b10,b0,b0,0,b11110111,b10,b0,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5690000,b11110111,0,b0,1,0,1,1,0,1,0,0,b101010101010101,b1000,b1111101,1,1,0,b101010101010101,b10000,b11,b1010010110100101,0,b10,b0,b0,0,b11110111,b10,b0,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5700000,b11110111,0,b0,1,0,1,0,0,1,0,0,b101010101010101,b1000,b1111110,1,1,0,b101010101010101,b10000,b11,b1010010110100101,0,b10,b0,b0,0,b11110111,b10,b0,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5710000,b11110111,0,b0,1,0,1,1,0,1,0,0,b101010101010101,b1000,b1111110,1,1,0,b101010101010101,b10000,b0,b1010010110100101,0,b100,b0,b0,1,b11110111,b10,b0,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5720000,b11110111,0,b0,1,0,1,0,0,1,0,0,b101010101010101,b1000,b1111111,1,1,0,b101010101010101,b10000,b0,b1010010110100101,0,b100,b0,b0,1,b11110111,b10,b0,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
5730000,b11111111,1,b0,1,1,0,1,0,1,0,0,b101010101010101,b1000,b1111111,1,1,0,b101010101010101,b10000,b1,b1010010110100101,1,b0,b0,b0,1,b11111111,b100,b0,b111010001100101011100110111010000110001010111110111010001111000010111110110001101101111011011010111000001101100011001010111010001100101,b111010001100101011100110111010000110010010111110111010001111000,b111010001100101011100110111010000110010010111110111010001111000,b11111010000,b111010001100101011100110111010000110010010111110111010001111000,b100111000100000
