Time (ns),spi_slave_tb.dut.tx_ready,spi_slave_tb.dut.rx_valid,DATA,MISO,IRQ,BUSY,spi_slave_tb.dut.clk,spi_slave_tb.expected_rx,MOSI,spi_slave_tb.dut.rst_n,spi_slave_tb.rx_valid_seen,SCLK,SS_N,spi_slave_tb.dut.tx_data,spi_slave_tb.i,spi_slave_tb.timeout_cycles,spi_slave_tb.dut.debug_bit_count,spi_slave_tb.dut.debug_state,spi_slave_tb.dut.irq_clear,spi_slave_tb.dut.sample_edge,spi_slave_tb.dut.shift_edge,spi_slave_tb.dut.ss_released,spi_slave_tb.dut.ss_selected,spi_slave_tb.dut.bit_counter,spi_slave_tb.dut.busy_reg,spi_slave_tb.dut.default_data,spi_slave_tb.dut.irq_reg,spi_slave_tb.dut.miso_reg,spi_slave_tb.dut.next_state,spi_slave_tb.dut.rx_data_reg,spi_slave_tb.dut.sclk_prev,spi_slave_tb.dut.sclk_sync,spi_slave_tb.dut.shift_reg_rx,spi_slave_tb.dut.shift_reg_tx,spi_slave_tb.dut.ss_n_prev,spi_slave_tb.dut.ss_n_sync,spi_slave_tb.dut.state
810000,0,1,1,0,1,1,1,1,1,1,1,0,0,0,b0,b1,b1,b11,0,0,0,0,1,b1,1,1,1,0,b11,1,0,0,1,0,0,0,b11
820000,0,1,1,0,1,1,0,1,1,1,1,0,0,0,b0,b1,b1,b11,0,0,0,0,1,b1,1,1,1,0,b11,1,0,0,1,0,0,0,b11
830000,0,1,1,0,1,1,1,1,1,1,1,0,0,0,b0,b1,b1,b11,0,0,0,0,1,b1,1,1,1,0,b11,1,0,0,1,0,0,0,b11
840000,0,1,1,0,1,1,0,1,1,1,1,0,0,0,b1,b1,b1,b11,0,0,0,0,1,b1,1,1,1,0,b11,1,0,0,1,0,0,0,b11
850000,0,1,1,0,1,1,1,1,1,1,1,0,0,0,b1,b1,b1,b11,0,0,0,0,1,b1,1,1,1,0,b11,1,0,0,1,0,0,0,b11
860000,0,1,1,0,1,1,0,1,1,1,1,0,0,0,b1,b1,b1,b11,0,0,0,0,1,b1,1,1,1,0,b11,1,0,0,1,0,0,0,b11
870000,0,1,1,0,1,1,1,1,1,1,1,0,0,0,b1,b1,b1,b11,0,0,0,0,1,b1,1,1,1,0,b11,1,0,0,1,0,0,0,b11
880000,0,1,1,0,1,1,0,1,1,1,1,0,0,0,b1,b1,b1,b11,0,0,0,0,1,b1,1,1,1,0,b11,1,0,0,1,0,0,0,b11
890000,0,1,1,0,1,1,1,1,1,1,1,0,0,0,b1,b1,b1,b11,0,0,0,0,1,b1,1,1,1,0,b11,1,0,0,1,0,0,0,b11
900000,0,1,1,0,1,1,0,1,1,1,1,0,0,0,b1,b1,b1,b11,0,0,0,0,1,b1,1,1,1,0,b11,1,0,0,1,0,0,0,b11
910000,0,1,1,0,1,1,1,1,1,1,1,0,0,0,b1,b1,b1,b11,0,0,0,0,1,b1,1,1,1,0,b11,1,0,0,1,0,0,0,b11
920000,0,1,1,0,1,1,0,1,1,1,1,0,0,0,b1,b1,b1,b11,0,0,0,0,1,b1,1,1,1,0,b11,1,0,0,1,0,0,0,b11
930000,0,1,1,0,1,1,1,1,1,1,1,0,0,0,b1,b1,b1,b11,0,0,0,0,1,b1,1,1,1,0,b11,1,0,0,1,0,0,0,b11
940000,0,1,1,0,1,1,0,1,1,1,1,0,1,0,b1,b0,b1,b11,0,0,0,1,0,b1,1,1,1,0,b0,1,0,0,1,0,0,0,b11
950000,1,1,1,0,1,1,1,1,1,1,1,0,1,0,b1,b0,b1,b0,0,0,0,1,0,b1,1,1,1,0,b0,1,0,0,1,0,0,1,b0
960000,1,1,1,0,1,1,0,1,1,1,1,0,1,0,b1,b1,b1,b0,0,0,0,1,0,b1,1,1,1,0,b0,1,0,0,1,0,0,1,b0
970000,1,0,1,0,1,0,1,1,1,1,1,0,1,0,b1,b1,b0,b0,0,0,0,1,0,b0,0,1,1,0,b0,1,0,0,1,0,1,1,b0
980000,1,0,1,0,1,0,0,1,1,1,1,0,1,0,b1,b0,b0,b0,0,0,0,1,0,b0,0,1,1,0,b0,1,0,0,1,0,1,1,b0
