Time (ns),spi_master_tb.dut.clk_counter
15210000,b11110100
15230000,b11110101
15250000,b11110110
15270000,b11110111
15290000,b11111000
15310000,b11111001
15330000,b0
15350000,b1
15370000,b10
15390000,b11
15410000,b100
15430000,b101
15450000,b110
15470000,b111
15490000,b1000
15510000,b1001
15530000,b1010
15550000,b1011
15570000,b1100
15590000,b1101
15610000,b1110
15630000,b1111
15650000,b10000
15670000,b10001
15690000,b10010
15710000,b10011
15730000,b10100
15750000,b10101
15770000,b10110
15790000,b10111
15810000,b11000
15830000,b11001
15850000,b11010
15870000,b11011
15890000,b11100
15910000,b11101
15930000,b11110
15950000,b11111
15970000,b100000
15990000,b100001
16010000,b100010
16030000,b100011
16050000,b100100
16070000,b100101
16090000,b100110
16110000,b100111
16130000,b101000
16150000,b101001
16170000,b101010
16190000,b101011
16210000,b101100
16230000,b101101
16250000,b101110
16270000,b101111
16290000,b110000
16310000,b110001
16330000,b110010
16350000,b110011
16370000,b110100
16390000,b110101
16410000,b110110
16430000,b110111
16450000,b111000
16470000,b111001
16490000,b111010
16510000,b111011
16530000,b111100
16550000,b111101
16570000,b111110
16590000,b111111
16610000,b1000000
16630000,b1000001
16650000,b1000010
16670000,b1000011
16690000,b1000100
16710000,b1000101
16730000,b1000110
16750000,b1000111
16770000,b1001000
16790000,b1001001
16810000,b1001010
16830000,b1001011
16850000,b1001100
16870000,b1001101
16890000,b1001110
16910000,b1001111
16930000,b1010000
16950000,b1010001
16970000,b1010010
16990000,b1010011
17010000,b1010100
17030000,b1010101
17050000,b1010110
17070000,b1010111
17090000,b1011000
17110000,b1011001
17130000,b1011010
17150000,b1011011
17170000,b1011100
17190000,b1011101
17210000,b1011110
17230000,b1011111
17250000,b1100000
17270000,b1100001
17290000,b1100010
17310000,b1100011
17330000,b1100100
17350000,b1100101
17370000,b1100110
17390000,b1100111
17410000,b1101000
17430000,b1101001
17450000,b1101010
17470000,b1101011
17490000,b1101100
17510000,b1101101
17530000,b1101110
17550000,b1101111
17570000,b1110000
17590000,b1110001
