Time (ns),SCLK,MOSI,MISO,SS_N,BUSY,IRQ,DATA
2080000,0,0,b1110,0,bx,0,1
2090000,0,1,b1110,0,bx,0,1
2100000,0,1,b1110,0,bx,0,1
2110000,0,1,b1110,0,bx,0,0
2120000,0,1,b1110,0,bx,0,0
2130000,0,0,b1110,0,bx,0,0
2140000,0,0,b1110,0,bx,0,0
2150000,0,1,b1110,0,bx,0,0
2160000,0,1,b1110,0,bx,0,0
2170000,0,1,b1110,0,bx,0,1
2180000,0,1,b1110,0,bx,0,1
2190000,0,0,b1110,0,bx,0,1
2200000,0,0,b1110,0,bx,0,1
2210000,0,1,b1110,0,bx,0,1
2220000,0,1,b1110,0,bx,0,1
2230000,0,1,b1110,0,bx,0,0
2240000,0,1,b1110,0,bx,0,0
2250000,0,0,b1110,0,bx,0,0
2260000,0,0,b1110,0,bx,0,0
2270000,0,1,b1110,0,bx,0,0
2280000,0,1,b1110,0,bx,0,0
2290000,1,1,b1111,0,b0,1,0
2300000,1,1,b1111,0,b0,1,0
2310000,1,1,b1111,0,b0,1,0
2320000,1,1,b1111,0,b0,1,0
2330000,1,1,b1111,0,b0,1,0
2340000,1,1,b1111,0,b0,1,0
2350000,1,1,b1111,0,b0,1,0
2360000,1,1,b1111,0,b0,1,0
2370000,1,1,b1111,0,b0,1,0
2380000,1,1,b1111,0,b0,1,0
2390000,1,1,b1111,0,b0,1,0
2400000,1,1,b1111,0,b0,1,0
2410000,1,1,b1111,0,b0,1,0
2420000,1,1,b1111,0,b0,1,0
2430000,1,1,b1111,0,b0,1,0
2440000,1,1,b1111,0,b0,1,0
2450000,1,1,b1111,0,b0,1,0
2460000,1,1,b1111,0,b0,1,0
2470000,1,1,b1111,0,b0,1,0
2480000,1,1,b1111,0,b0,1,0
2490000,1,1,b1111,0,b0,1,0
2500000,1,1,b1111,0,b0,1,0
2510000,1,1,b1111,0,b0,1,0
2520000,1,1,b1111,0,b0,1,0
2530000,1,1,b1111,0,b0,1,0
2540000,1,1,b1111,0,b0,1,0
2550000,1,1,b1111,0,b0,1,0
2560000,1,1,b1111,0,b0,1,0
2570000,1,1,b1111,0,b0,1,0
2580000,1,1,b1111,0,b0,1,0
2590000,1,1,b1111,0,b0,1,0
2600000,1,1,b1111,0,b0,1,0
2610000,1,1,b1111,0,b0,1,0
2620000,1,1,b1111,0,b0,1,0
2630000,1,1,b1111,0,b0,1,0
2640000,1,1,b1111,0,b0,1,0
2650000,1,1,b1111,0,b0,1,0
2660000,1,1,b1111,0,b0,1,0
2670000,1,1,b1111,0,b0,1,0
2680000,1,1,b1111,0,b0,1,0
2690000,1,1,b1111,0,b0,1,0
2700000,1,1,b1111,0,b0,1,0
2710000,1,1,b1111,0,b0,1,0
2720000,1,1,b1111,0,b0,1,0
2730000,1,1,b1111,0,b0,1,0
2740000,1,1,b1111,0,b0,1,0
2750000,1,1,b1111,0,b0,1,0
2760000,1,1,b1111,0,b0,1,0
2770000,1,1,b1111,0,b0,1,0
2780000,1,1,b1111,0,b0,1,0
2790000,1,1,b1111,0,b0,1,0
2800000,1,1,b1111,0,b0,1,0
2810000,1,0,b1111,0,b0,0,0
2820000,1,0,b1111,0,b0,0,0
2830000,1,0,b1111,0,b0,0,0
2840000,1,0,b1111,0,b0,0,0
2850000,1,0,b1111,0,b0,0,0
2860000,1,0,b1111,0,b0,0,0
2870000,1,0,b1111,0,b0,0,0
2880000,1,0,b1111,0,b0,0,0
2890000,1,0,b1111,0,b0,0,0
2900000,1,0,b1111,0,b0,0,0
2910000,1,0,b1111,0,b0,0,0
2920000,1,0,b1111,0,b0,0,0
2930000,1,0,b1111,0,b0,0,0
2940000,1,0,b1111,0,b0,0,0
2950000,1,0,b1111,0,b0,0,0
2960000,1,0,b1111,0,b0,0,0
2970000,1,0,b1111,0,b0,0,0
2980000,1,0,b1111,0,b0,0,0
2990000,1,0,b1111,0,b0,0,0
3000000,1,0,b1111,0,b0,0,0
3010000,1,0,b1111,0,b0,0,0
3020000,1,0,b1111,0,b0,0,0
3030000,1,0,b1111,0,b0,0,0
3040000,1,0,b1111,0,b0,0,0
3050000,1,0,b1111,0,b0,0,0
3060000,1,0,b1111,0,b0,0,0
3070000,1,0,b1111,0,b1,0,0
3080000,1,0,b1111,0,b1,0,0
3090000,1,0,b1111,0,b1,0,0
3100000,1,0,b1111,0,b1,0,0
3110000,1,0,b1111,0,b1,0,0
3120000,1,0,b1111,0,b1,0,0
3130000,1,0,b1111,0,b1,0,0
3140000,1,0,b1111,0,b1,0,0
3150000,1,0,b1111,0,b1,0,0
3160000,1,0,b1111,0,b1,0,0
3170000,1,0,b1111,0,b10,0,0
3180000,1,0,b1111,0,b10,0,0
3190000,1,0,b1111,0,b10,0,0
3200000,1,0,b1111,0,b10,0,0
3210000,1,0,b1111,0,b10,0,0
3220000,1,0,b1111,0,b10,0,0
3230000,1,0,b1111,0,b10,0,0
3240000,1,0,b1111,0,b10,0,0
3250000,1,0,b1111,0,b10,0,0
3260000,1,0,b1111,0,b10,0,0
3270000,1,0,b1111,0,b101,0,0
3280000,1,0,b1111,0,b101,0,0
3290000,1,0,b1111,0,b101,0,0
3300000,1,0,b1111,0,b101,0,0
3310000,1,0,b1111,0,b101,0,0
3320000,1,0,b1111,0,b101,0,0
3330000,1,0,b1111,0,b101,0,0
3340000,1,0,b1111,0,b101,0,0
3350000,1,0,b1111,0,b101,0,0
3360000,1,0,b1111,0,b101,0,0
3370000,1,0,b1111,0,b1011,0,0
3380000,1,0,b1111,0,b1011,0,0
3390000,1,0,b1111,0,b1011,0,0
3400000,1,0,b1111,0,b1011,0,0
3410000,1,0,b1111,0,b1011,0,0
3420000,1,0,b1111,0,b1011,0,0
3430000,1,0,b1111,0,b1011,0,0
3440000,1,0,b1111,0,b1011,0,0
3450000,1,0,b1111,0,b1011,0,0
3460000,1,0,b1111,0,b1011,0,0
3470000,1,0,b1111,0,b10110,0,0
3480000,1,0,b1111,0,b10110,0,0
3490000,1,0,b1111,0,b10110,0,0
3500000,1,0,b1111,0,b10110,0,0
3510000,1,0,b1111,0,b10110,0,0
3520000,1,0,b1111,0,b10110,0,0
3530000,1,0,b1111,0,b10110,0,0
3540000,1,0,b1111,0,b10110,0,0
3550000,1,0,b1111,0,b10110,0,0
3560000,1,0,b1111,0,b10110,0,0
3570000,1,0,b1111,0,b101101,0,0
3580000,1,0,b1111,0,b101101,0,0
3590000,1,0,b1111,0,b101101,0,0
3600000,1,0,b1111,0,b101101,0,0
3610000,1,0,b1111,0,b101101,0,0
3620000,1,0,b1111,0,b101101,0,0
3630000,1,0,b1111,0,b101101,0,0
3640000,1,0,b1111,0,b101101,0,0
3650000,1,0,b1111,0,b101101,0,0
3660000,1,0,b1111,0,b101101,0,0
3670000,1,0,b1111,0,b101101,0,0
3680000,1,0,b1111,0,b101101,0,0
3690000,1,0,b1111,0,b101101,0,0
3700000,1,0,b1111,0,b101101,0,0
3710000,1,0,b1111,0,b101101,1,0
3720000,1,0,b1111,0,b101101,1,0
3730000,1,0,b1111,0,b101101,0,0
3740000,1,0,b1111,0,b101101,0,0
3750000,1,0,b1111,0,b101101,0,0
3760000,1,0,b1111,0,b101101,0,0
3770000,1,0,b1111,0,b101101,0,0
3780000,1,0,b1111,0,b101101,0,0
3790000,1,0,b1111,0,b101101,0,0
3800000,1,0,b1111,0,b101101,0,0
3810000,1,0,b1111,0,b101101,0,0
3820000,1,0,b1111,0,b101101,0,0
3830000,1,0,b1111,0,b101101,0,0
3840000,1,0,b1111,0,b101101,0,0
3850000,1,0,b1111,0,b101101,0,0
3860000,1,0,b1111,0,b101101,0,0
3870000,1,0,b1111,0,b101101,0,0
3880000,1,0,b1111,0,b101101,0,0
3890000,1,0,b1111,0,b101101,0,0
3900000,1,0,b1111,0,b101101,0,0
3910000,1,0,b1111,0,b101101,0,0
3920000,1,0,b1111,0,b101101,0,0
3930000,1,0,b1111,0,b101101,0,0
3940000,1,0,b1111,0,b101101,0,0
3950000,1,0,b1111,0,b101101,0,0
3960000,1,0,b1111,0,b101101,0,0
3970000,1,0,b1111,0,b101101,0,0
3980000,1,0,b1111,0,b101101,0,0
3990000,1,0,b1111,0,b101101,0,0
4000000,1,0,b1111,0,b101101,0,0
4010000,1,0,b1111,0,b101101,0,0
